" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Bemowo,LO,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,"1a TURYSTYCZNA [O] ang-geogr (ang-niem*,fra*,hisz*,wlo*,ros*)",120,"131,78","160,2
"
Bemowo,LO,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,"1b EKONOMICZNA [O] mat-geogr (ang-niem*,fra*,hisz*,ros*,wlo*)","120,2","128,88",161
Bemowo,LO,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,"1c PRZYRODNICZA [O] chem-biol (ang-fra*,hisz*,niem*,ros*,wlo*)","118,2","130,13",147
Bemowo,LO,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,"1d MEDIALNA [O] pol-ang-wos (ang-fra*,hisz*,niem*,ros*,wlo*)","116,8","126,06","157,2"
Bemowo,LO,LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej,"1e HUMANISTYCZNA [O] pol-hist (ang-fra*,hisz*,niem*,ros*,wlo*)",112,"117,64",127
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,"1a [O] ang-mat-geogr (ang-niem*,fra*,ros*)",133,"143,76","
laureat/ci"
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,"1b [O] ang-biol-chem (ang-fra*,niem*,ros*)","131,4","145,47","170,2"
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,"1c [O] ang-hist-wos (ang-fra*,niem*,ros*)","121,2","134,58","158,8"
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,"1d [O] ang-wos-geogr (ang-fra*,niem*,ros*)",121,"133,12",158
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,1e [O] franc-pol-wos (fra*-ang),"93,6","116,78",157
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,"1fche [O] ang-mat-chem (ang-fra*,niem*,ros*)","121,6","136,21","154,6"
Białołęka,LO,CV Liceum Ogólnokształcące im. Zbigniewa Herberta,"1ffiz [O] ang-mat-fiz (ang-fra*,niem*,ros*)","144,8","152,29","159,2"
Bielany,LO,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,"1A,1B [O] mat-fiz-ang (ang-niem*)",164,"169,32","185,8"
Bielany,LO,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,1C [O] mat-geogr-ang (ang-niem*),"164,2","170,01","184,4"
Bielany,LO,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,1D [O] mat-biol-chem (ang-niem*),"164,4","168,96","184,2"
Bielany,LO,CXXII Liceum Ogólnokształcące im. Ignacego Domeyki,1E [O] mat-ang-niem (ang-niem*),"154,4","159,88",laureat/ci
Bielany,LO,LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta,"1a [O] biol-pol-ang (ang*-hisz*,niem*)","101,6","116,14","138,6"
Bielany,LO,LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta,1b [O] ang-geogr-hiszp (ang*-hisz*),"94,2","113,78","143,8"
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,"1a_fit,kultury,3bój [MS] ang (ang*-niem)",60**,"63,8**",71**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1a piłka ręczna [MS] ang (ang*-niem),50**,"62,5**",80**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1b_5_bój_now. [MS] ang (ang*-niem),57**,"81,25**",100**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1b pływanie [MS] ang (ang*-niem),470**,696**,870**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1b szermierka [MS] ang (ang*-niem),60**,"85,55**",100**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1b triathlon [MS] ang (ang*-niem),50**,55**,60**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1c lekkoatletyka [MS] ang (ang*-hisz),361**,"390,68**",443**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1c piłka_nożna [MS] ang (ang*-hisz),77**,"83,31**",91**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1d boks [MS] ang (ang*-hisz),"59,25**","63,23**",72**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1d judo [MS] ang (ang*-hisz),75**,95**,100**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1d taekwondo olimp [MS] ang (ang*-hisz),69**,"72,83**",80**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1d zapasy [MS] ang (ang*-hisz),61**,"73,17**",laureat/ci
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1e piłka siatkowa [MS] ang (ang*-niem),207**,"280,71**",327**
Bielany,LO,LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego,1e strzelectwo [MS] ang (ang*-niem),"59,5**","78,6**",90**
Bielany,LO,LX Liceum Ogólnokształcące im. Wojciecha Górskiego,"1LA [O] geogr-ang (ang-hisz,niem)",72,"99,06","146,2"
Bielany,LO,LX Liceum Ogólnokształcące im. Wojciecha Górskiego,"1LB [O] pol-biol (ang-hisz,niem)","81,8","102,52",131
Bielany,LO,LX Liceum Ogólnokształcące im. Wojciecha Górskiego,"1LC [O] hist-wos (ang-hisz,niem)","74,8","95,22","122,4"
Bielany,T,Technikum Ekonomiczne nr 5,1E [O] Technik ekonomista (ang-niem*),"67,8","93,13","168,4"
Bielany,T,Technikum Ekonomiczne nr 5,1H [O] Technik handlowiec (ang-niem*),"32,6","79,57",125
Bielany,T,Technikum Ekonomiczne nr 5,1L [O] Technik logistyk (ang-niem*),"81,6","104,36","152,4"
Bielany,T,Technikum Ekonomiczne nr 5,1T [O] Technik hotelarstwa (ang-niem*),"47,6","80,25","
laureat/ci"
Bielany,T,Technikum Księgarskie im. Stefana Żeromskiego,"1tg [O] Technik grafiki i poligrafii cyfrowej (ang*-hisz*,niem*,ros*)","106,6","124,14","169,8"
