Niepubliczne placówki prowadzące wczesne wspomaganie rozwoju dziecka dotowane przez m. st. Warszawa stan na 2019-09-01,,,
,,,
Lp.,Nazwa szkoły/placówki,Dzielnica,Adres
,,,
,,,
1,"Niepubliczne Przedszkole ""Żyrafki""",Bemowo,"Obrońców Tobruku 38/U2, 01-494 Warszawa"
2,Przedszkola Pomarańczowa Ciuchcia Spółka z o.o. Spółka komandytowa,Bemowo,"Lazurowa 67, 01-314 Warszawa"
3,"Niepubliczne Przedszkole ""Małe Zuchy""",Bemowo,"Obrońców Tobruku 23/lok. 110-111,  Warszawa"
4,"Niepubliczne Przedszkole Integracyjne ""Zielony Latawiec""",Bemowo,"Sołtana 3, 01-494 Warszawa"
5,"Niepubliczny Terapeutyczny Punkt Przedszkolny ""qpsyche kids""",Bemowo,"Lazurowa 183/90, 01-479 Warszawa"
6,"Przedszkole Publiczne ""Miś Krzyś""",Bemowo,"Kaliskiego 31, 00-819 Warszawa"
7,Przedszkole Publiczne Nasze Ananasy,Bemowo,"Powstańców Śląskich 9, 01-381 Warszawa"
8,"Niepubliczne Przedszkole Integracyjne ""Dom rozwoju Przedszkolaka Promyczek""",Białołęka,"Białołęcka 259, 03-253 Warszawa"
9,Przedszkole Kids Love Dreams,Białołęka,"Naprzełaj 5a, 03-092 Warszawa"
10,"Przedszkole Niepubliczne ""Malinowe Przedszkole""",Białołęka,"Płochocińska 84b, 03-044 Warszawa"
11,"Przedszkole Niepubliczne ""Plastuś""",Białołęka,"Mehoffera 57, 03-131 Warszawa"
12,"Przedszkole Niepubliczne ""Raj Krasnali""",Białołęka,"Światowida 58/U1,U2, 03-144 Warszawa"
13,"Przedszkole Niepubliczne ""Wyspa Skarbów""",Białołęka,"Skarbka z Gór 142B, 03-287 Warszawa"
14,"Niepubliczne Przedszkole Terapeutyczne ""Dobry Start""",Białołęka,"Internetowa 33, 03-290 Warszawa"
15,Akademia Maluchów-Tarchomin  Niepubliczne Anglojęzyczne Przedszkole Integracyjne,Białołęka,"Zbytki 4, 03-145 Warszawa"
16,Niepubliczne Przedszkole  Integracyjne Magiczny Świat Dziecka ,Białołęka,"Światowida 51B/U1, 03-144 Warszawa"
17,"Przedszkole Niepubliczne ""Moje Przedszkole""",Białołęka,"Świderska 137, 03-128 Warszawa"
18,Kompas Terapeutyczny Punkt Przedszkolny,Białołęka,"Głębocka 54b/28, 03-287 Warszawa"
19,Punkt Przedszkolny Wiatr w Żagle,Białołęka,"Sieczna 5, 03-290 Warszawa"
20,Terapeutyczny Punkt Przedszkolny Kamyk Zielony,Białołęka,"Odkryta 61, 03-140 Warszawa"
21,"Przedszkole Niepubliczne ""Progresja""",Białołęka,"Erazma z Zakroczymia 12, 03-185 Warszawa"
22,"Publiczne Przedszkole Integracyjne ""Nasz Domek""",Białołęka,"Małej Żabki 15, 03-289 Warszawa"
23,"Publiczne Przedszkole Integracyjne ""Nasz Domek""",Białołęka,"Zdziarska 26, 03-289 Warszawa"
24,"Prywatne Przedszkole ""Śpiewające Brzdące""",Bielany,"Estrady  75B, 01-932 Warszawa"
