dzielnica,Nazwa szkoły,ulica,nr,,kod,miasto,numer ewidencyjny,Uwagi
Bemowo,Szkoła Podstawowa  nr 24 Społecznego Towarzystwa Oświatowego,Powstańców Śląskich ,67a,,01-355,Warszawa,9 SPN,
Bemowo,Niepubliczna Szkoła Podstawowa Nr 61 PRO FUTURO z oddziałami dwujęzycznymi,gen. S. Kaliskiego,"29 A,B",,01-476,Warszawa,57 SPN,
Bemowo,Niepubliczna Szkoła Podstawowa Gaudeamus (II miejsce: ul. Lazurowa 67),gen. W. Urbanowicza (dawniej Kaliskiego),23 B,,01-476,Warszawa,93 SPN,
Białołęka ,Społeczna Szkoła Podstawowa nr 2  im. Polskich Matematyków Zwycięzców Enigmy Społecznego Towarzystwa Oświatowego,Dziatwy ,6,,03-109,Warszawa,10 SPN,
Białołęka ,"Niepubliczna Szkoła Podstawowa ""Nasza Szkoła""
im. Janusza Korczaka w Warszawie",Liczydło,3,,03-183,Warszawa,72 SPN,
Białołęka ,"Niepubliczna Szkoła Podstawowa ""EUROPEJSKA SZKOŁA PRZYSZŁOŚCI""",Białołęcka,186 D,,03-235,Warszawa,86 SPN,
Białołęka ,"Niepubliczna Szkoła Podstawowa ""Inspiracja""",J. Mehoffera,90,,03-118,Warszawa,101 SPN,
Białołęka ,"Polsko-Angielska Szkoła Podstawowa MENTIS ""Piwoniowa""",Piwoniowa,18,,03-074,Warszawa,108 SPN,
Bielany,Społeczna Szkoła Podstawowa Nr 13 im. Lotników Amerykańskich,K. Wóycickiego ,1/3,,01-938,Warszawa,11 SPN,
Bielany,Niepubliczna Szkoła Podstawowa,J. Conrada,7,,01-929,Warszawa,121 SPN,
Bielany,Szkoła Podstawowa Niepubliczna nr 74 im. Błogosławionego Honorata Koźmińskiego,W. Smoleńskiego,31,,01-698,Warszawa,23 SPN,
Bielany,Społeczna Szkoła Podstawowa Integracyjna nr 100 Społecznego Towarzystwa Oświatowego,Wolumen ,3,,01-912,Warszawa,37 SPN,
Bielany,Katolicka Szkoła Podstawowa Nr 109 Fundacji Na Rzecz Rodziny  im. Świętej Rodziny,K. Wóycickiego ,1/3,,01-938,Warszawa,41 SPN,
Bielany,Szkoła Podstawowa Nr 3 Przymierza Rodzin im. bł. ks. Jerzego Popiełuszki,T. Nocznickiego,7,,01-948,Warszawa,60 SPN,
Bielany,Niepubliczna Szkoła Podstawowa im. Juliusza Verne'a,Marymoncka,34,,01-813,Warszawa,88 SPN,
Bielany,Szkoła Podstawowa Nr 86 Stowarzyszenie Kultury i Edukacji,Kolektorska,9/11,,02-796,Warszawa,45 SPN,
Mokotów,Społeczna Szkoła Podstawowa Nr 14 im. Dzieci Zjednoczonej Europy Społecznego Towarzystwa Oświatowego ,Bachmacka ,3,,02-647,Warszawa,13 SPN,
Mokotów,Szkoła Podstawowa Nr 20 im. Jana Gutenberga Fundacji Szkolnej ,Obrzeźna ,12a,,02-691,Warszawa,14 SPN,
Mokotów,Społeczna Szkoła Podstawowa Nr 26 im. prof. Jigoro Kano Społecznego Towarzystwa Oświatowego,Puławska,97b,,02-595,Warszawa,15 SPN,
Mokotów,Szkoła Podstawowa Niepubliczna nr 49 ,Bacha,2,,02-743,Warszawa,16 SPN,
Mokotów,Brytyjska Szkoła Podstawowa The British School Nr 91 w Warszawie,B. Limanowskiego,15,,02-943,Warszawa,33 SPN,
Mokotów,Niepubliczna Szkoła Podstawowa Nr 97,E. J. Abramowskiego,4,,02-659,Warszawa,36 SPN,
Mokotów,"Kanadyjska Szkoła Podstawowa Nr 84 
II miejsce ul. Olimpijska 11",Bełska,7,,02-638,Warszawa,53 SPN,
Mokotów,Szkoła Podstawowa nr 2 Przymierza Rodzin im. ks. Jana Twardowskiego,Racławicka,14,,02-601,Warszawa,61 SPN,
Mokotów,Multischool Międzynarodowa Szkoła Podstawowa (II miejsce Puławska 228 lok. 1),Niedźwiedzia ,46,,02-666,Warszawa,89 SPN,
Mokotów,ATENA  Szkoła Podstawowa dla Dorosłych w Warszawie,Konstruktorska,13,,02-673,Warszawa,171 SPN,
Mokotów,GREENEDU  Szkoła Podstawowa dla Dorosłych w Warszawie,Konstruktorska,13,,02-673,Warszawa,170 SPN,
Śródmieście,Szkoła Podstawowa Montessori im. Św. Urszuli Ledóchowskiej,Czerniakowska,128,,00-454,Warszawa,90 SPN,
Mokotów, Szkoła Podstawowa Chocimska,Chocimska,5,,00-791,Warszawa,85 SPN,
Mokotów,Prywatna Szkoła Podstawowa im. Jeana Monneta (II miejsce:Belwederska 6a ),Stępińska ,13,,00-739,Warszawa,95 SPN,
Mokotów,Niepubliczna Szkoła Podstawowa British International Academy Primary Warsaw,Czerska,14,,00-732,Warszawa,127 SPN,
Mokotów,Szkoła Podstawowa Sióstr Nazaretanek z Oddziałami Dwujęzycznymi,Czerniakowska,137,,00-720,Warszawa,144 SPN,
Mokotów,Dwujęzyczna Szkoła Podstawowa PWN,J. J. Rostafińskich,1,,02-593,Warszawa,148 SPN,
Ochota,"Prywatna Szkoła Podstawowa Nr 81 Fundacji ""Rodzice Dzieciom""",Nowowiejska ,39a,,02-010,Warszawa,28 SPN,
Ochota,"Prywatna Szkoła Podstawowa  Nr 51 im. Jana Brzechwy 
(II miejsce Przy Parku 36)",Harfowa,2,,02-389,Warszawa,47 SPN,
Ochota,Międzynarodowa Szkoła Podstawowa MERIDIAN,Wawelska ,66/74,,02-034,Warszawa,71 SPN,
Ochota,Korczakowska Szkoła Marzeń-Niepubliczna Szkoła Podstawowa,Urbanistów,3,,02-397,Warszawa,118 SPN,
Praga Południe,Dwujęzyczna Społeczna Szkoła Podstawowa nr 5 imienia Zawiszy Czarnego Społecznego Towarzystwa Oświatowego,Paryska ,25,,03-945,Warszawa,2 SPN,
Praga Południe,Społeczna Szkoła Podstawowa nr 10 im.Kardynała Stefana Wyszyńskiego Społecznego Towarzystwa Oświatowego,Ostrobramska ,72,,04-175,Warszawa,3 SPN,
Praga Południe,"Prywatna Szkoła Podstawowa nr 98 ""DIDASKO"" (I miejsce ul. Grochowska 284)",Terespolska,19,,03-813,Warszawa,38 SPN,
Praga Południe,Prywatna Szkoła Podstawowa nr 114,ks. J. Sztuki ,13,,04-320,Warszawa,48 SPN,
Praga Południe,Chrześcijańska Szkoła Podstawowa Samuel,Mieczysława Pożaryskiego,28,29,04-703,Warszawa,62 SPN,
Praga Południe,"Niepubliczna Szkoła Podstawowa ""International Trilingual School""
(II miejsce ul. Królowej Aldony 23/25, III. Jana Styki 17/19)",A. Nobla,16,,03-930,Warszawa,87 SPN,
Praga Południe,"""Wonderful Years School"" Prywatna Podstawowa",Egipska,7,,03-979,Warszawa,102 SPN,
Praga Południe,"Niepubliczne Szkoła Podstawowa 'Trampoline""",Obrońców,25,,03-933,Warszawa,128 SPN,
Praga Północ,"Społeczna Szkoła Podstawowa im. S. Lema 
Społecznego Towarzystwa Oświatowego",Białostocka,4,,03-741,Warszawa,137 SPN,
Praga Północ,Szkoła Podstawowa MGM,Jagiellońska,88,,00-992,Warszawa,139 SPN,
Praga Północ,Akademicka Szkoła Podstawowa Wyższej Szkoły Menedżerskiej w Warszawie,Kawęczyńska,36,,03-772,Warszawa,142 SPN,
