dzielnica,nazwa szkoły,ulica,nr,kod,miasto,numer ewidencyjny
Białołęka,"Niepuliczna Terapetyczna Szkoła Podstawowa ""Dobry Start""",Internetowa,33,03-290,Warszawa,19 S
Bielany,Szkoła Podstawowa Niepubliczna przy Fundacji Pomocy Ludziom z Niepełnosprawnościami ( II miejsce prowadzenia ul. Skuterowa 9),Bronowska,18,03-995,Warszawa,2 S
Bielany,Niepubliczna Szkoła Podstawowa Fundacji SCOLAR,Kleczewska,50,01-851,Warszawa,16 S
Bielany,"Niepubliczna Specjalna Szkoła Podstawowa Realizująca Program Rehabilitacji ""Nasza Szkoła""",W. Broniewskiego,89,01-876,Warszawa,9 S
Bielany,Szkoła Przysposabiająca do Pracy  przy Fundacji Pomocy Ludziom z Niepełnosprawnościami,Skuterowa,9,03-114,Warszawa,11 S
Mokotów,"I Społeczna Szkoła Podstawowa Specjalna ""Dać Szansę"" Społecznego Towarzystwa Oświatowego",Głogowa ,2B,02-639,Warszawa,1 S
Mokotów,"Społeczne Gimnazjum Specjalne ""Dać Sznsę""",Głogowa ,2B,02-639,Warszawa,5 S
Mokotów,"Społeczna Szkoła Specjalna Przysposabiająca do Pracy ""Dać Szansę""",Głogowa ,2B,02-639,Warszawa,10 S
Ochota,"Niepubliczna Szkoła Specjalna Przysposabiająca do Pracy ""Nie z tej Bajki""",Grójecka,97,700,Warszawa,20 S
Ochota,Szkoła Podstawowa nr 174  Małe Dzieło Boskiej Opatrzności - Orioniści ,Barska ,4,02-315,Warszawa,3 S
Praga Północ,Niepubliczna Szkoła Podstawowa PROMITIS,Wileńska,18/U7,03-416,Warszawa,18 S
Wawer,Specjalne Liceum Ogólnokształcące Towarzystwa Przyjaciół Dzieci,Hafciarska,80/86,04-725,Warszawa,123 LO
Wawer,Szkoła Specjalna Przysposabiająca do Pracy Towarzystwa Przyjaciół Dzieci,Hafciarska,80/86,04-725,Warszawa,13 S
Wilanów,"Niepubliczna Specjalna Szkoła Podstawowa ""Krok po Kroku"" dla Dzieci z Autyzmem 
im. bł. Edmunda Bojanowskiego w Warszawie",Orszady,10,02-797,Warszawa,12 S
Wola,"Niepubliczna Specjalna Szkoła Podstawowa dla dzieci z autyzmem - ""Szkoła w kontakcie"" ",Karolkowa,62,01-193,Warszawa,17 S
Wola,Niepubliczna Szkoła Podstawowa POD WIELKIM DACHEM NIEBA,Jana Ostroroga,18,01-163,Warszawa,21 S
