Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""",długość geograficzna,szerokość geograficzna,Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE)
_AGRYKOLA,_AGRYKOLA_MOS_1,017316253,146735464,87072,115214,"Warszawskie Centrum Sportu Młodzieżowego ""Agrykola""","Międzyszkolny Ośrodek Sportowy nr 1 ""Agrykola""",zespół lub jednostka złożona,międzyszkolny ośrodek sportowy,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Śródmieście,Ujazdów,ul. Myśliwiecka,9,00-459,Mirosław,Robak,226229107,226229106,http://agrykola-noclegi.pl,http://www.agrykola-noclegi.pl/pl/s307/BIP.html,sekretariat.agrykola@gmail.com,1,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,w zespole,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/115214,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,03518105","52,2205697",,,1059
_AGRYKOLA,_AGRYKOLA_O_ST,017316253,280566859,87072,86896,"Warszawskie Centrum Sportu Młodzieżowego ""Agrykola""","Pozaszkolna Placówka Specjalistyczna – Międzyszkolny Ośrodek Sportowo-Szkoleniowy ""Omega"" w Stręgielku",zespół lub jednostka złożona,pozaszkolna placówka specjalistyczna,bez kategorii,nie,Biuro Edukacji,Pozezdrze,poza Warszawą,,Stręgielek,40,11-610,Mirosław,Robak,874279012,874279014,http://omega.mazury.info,http://www.bip.omega.mazury.info,stregielek@edu.um.warszawa.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,w zespole,jednostka inna niż przedszkole lub szkoła,nie,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/86896,,,,,,,,,1112
_AGRYKOLA,_AGRYKOLA_SSM_1,017316253,146735398,87072,115215,"Warszawskie Centrum Sportu Młodzieżowego ""Agrykola""",Szkolne Schronisko Młodzieżowe nr 1,zespół lub jednostka złożona,szkolne schronisko młodzieżowe,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Śródmieście,Ujazdów,ul. Myśliwiecka,9,00-459,Mirosław,Robak,226229110,226229105,http://agrykola-noclegi.pl,http://www.agrykola-noclegi.pl/pl/s307/BIP.html,recepcja@agrykola-noclegi.pl,1,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,w zespole,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/115215,,Poradnia Psychologiczno-Pedagogiczna nr 11,,,"21,03518105","52,2205697",,,1060
_BS_04,_BS_04,011782304,011782304,86891,86891,Bursa Szkolna nr 4,Bursa Szkolna nr 4,bursa internat,bursa internat,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Wola,Koło,ul. Księcia Janusza,45/47,01-452,Piotr,Iwiński,228361813,228773364,http://www.bursa4.waw.pl,http://bursa4.bip.um.warszawa.pl,bursa4@bursa4.waw.pl,4,tak,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/86891,,Poradnia Psychologiczno-Pedagogiczna nr 2,,,"20,93906212","52,24519512",,,484
_BS_05,_BS_05,000192407,000192407,86886,86886,Bursa Szkolna nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,Bursa Szkolna nr 5 im. ppłk mgr inż. Grażyny Lipińskiej,bursa internat,bursa internat,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Praga Południe,Grochów,ul. Zagójska,3,04-160,Marta,Baj,228108488,228108488,http://www.bursa5.edu.pl,http://bursa5.bip.um.warszawa.pl,bursa@bursa.edu.pl,5,tak,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/86886,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,09207726","52,24132095",,,119
_BS_06,_BS_06,000192590,000192590,86890,86890,Bursa Szkolna nr 6,Bursa Szkolna nr 6,bursa internat,bursa internat,dzieci lub młodzież,nie,Biuro Edukacji,Warszawa,Wola,Powązki,ul. Okopowa,55A,01-043,Edyta,Pałubińska,228389596,228389596,http://www.bursa6.edu.pl,http://bursa6.bip.um.warszawa.pl,biuro@bursa6.edu.pl,6,tak,jednostka budżetowa,,,,,,,,,,,,,,,,"lokalizacja tymczasowa (remontu budynku siedziby): Smolna 30, Śródmieście",samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,https://rspo.men.gov.pl/rspo/86890,,Poradnia Psychologiczno – Pedagogiczna nr 14,,,"21,02324867","52,23294041",,,120
_MBFO,_MBFO,015752866,015752866,108574,108574,Miejskie Biuro Finansów Oświaty m.st. Warszawy,Miejskie Biuro Finansów Oświaty m.st. Warszawy,biuro finansów oświaty,biuro finansów oświaty,bez kategorii,nie,Biuro Edukacji,Warszawa,Śródmieście,Śródmieście Południowe,ul. Mokotowska,55,00-542,Joanna,Wiśniewska,226969015,226213045,https://www.mbfo.waw.pl/index.php,http://mbfo.bip.um.warszawa.pl,mbfo@um.warszawa.pl,,nie,jednostka budżetowa,,,,,,,,,,,,,,,,,samodzielna,jednostka inna niż przedszkole lub szkoła,tak,,,,,,,,,,,,,,,,,,"21,02131992","52,22512564",,,875
_MOSOC_01,_MOSOC_01_LO_61,001396603,015840702,14120,103822,"Młodzieżowy Ośrodek Socjoterapii nr 1 ""SOS""",LXI Liceum Ogólnokształcące Specjalne im. Janiny Zawadowskiej,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Mokotów,Służew,ul. Wincentego Rzymowskiego,36,02-697,Beata,Kojło-Boratyńska,226470116,226470116,http://www.mossos1.pl,http://www.bip.mossos1.pl,sekretariat@mossos.pl,61,tak,jednostka budżetowa,160,,160,15,,15,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,LO-,tak,tak,tak,,,tak,,,,tak,,https://rspo.men.gov.pl/rspo/103822,,Poradnia Psychologiczno-Pedagogiczna nr 7,zagrożeni niedostosowaniem społecznym,,"21,00310864","52,1765933",,,404
_MOSOC_02,_MOSOC_02_LO_85,013300019,015896803,14202,105291,"Młodzieżowy Ośrodek Socjoterapii nr 2 ""KĄT""",LXXXV Liceum Ogólnokształcące Specjalne,zespół lub jednostka złożona,liceum ogólnokształcące,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Anin,ul. Zorzy,17,04-639,Daria,Chmiel,226133576,226133542,http://www.moskat.pl,http://most2.bip.um.warszawa.pl,mos2kat@moskat.pl,85,tak,jednostka budżetowa,195,,195,13,,13,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła ponadpodstawowa,tak,SP-LO-,tak,tak,tak,,tak,tak,,,,tak,,https://rspo.men.gov.pl/rspo/105291,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,16914749","52,21661247",,,824
_MOSOC_02,_MOSOC_02_SP_393,013300019,367990142,14202,196263,"Młodzieżowy Ośrodek Socjoterapii nr 2 ""KĄT""",Szkoła Podstawowa Specjalna nr 393,zespół lub jednostka złożona,szkoła podstawowa,dzieci lub młodzież,tak,Biuro Edukacji,Warszawa,Wawer,Anin,ul. Zorzy,17,04-639,Daria,Chmiel,226133576,226133542,http://www.moskat.pl,http://most2.bip.um.warszawa.pl,mos2kat@moskat.pl,393,tak,jednostka budżetowa,30,,30,2,,2,nie,nie,nie,nie,nie,tak,nie,nie,nie,,w zespole,szkoła podstawowa (w tym muzyczna),tak,SP-LO-,tak,tak,tak,,tak,tak,,,,tak,,https://rspo.men.gov.pl/rspo/196263,,Poradnia Psychologiczno-Pedagogiczna nr 17,zagrożeni niedostosowaniem społecznym,,"21,16914749","52,21661247",,,2554
