dzielnica,Nazwa szkoły,ulica,nr,kod,miasto,numer ewidencyjny,Uwagi 
Bemowo,Liceum Ogólnokształcące Niepubliczne nr 29  im. Ignacego Jana Paderewskiego,Powązkowska,90,01-728,Warszawa,4 LO,
Bemowo,Niepubliczne Liceum Ogólnokształcące Pro Futuro z oddziałami dwujęzycznymi,gen. S. Kaliskiego,29 A i B,01-476,Warszawa,299 LO,
Bemowo,Społeczne Liceum Ogólnokształcące nr 99 Społecznego Towarzystwa Oswiatowego,Powstańców Śląskich,67a,01-355,Warszawa,300 LO,
Bemowo,Liceum Ogólnokształcące Niepubliczne Fundacji Amicus,Powązkowska,90,01-728,Warszawa,305 LO,
Bielany,Liceum Ogólnokształcące Niepubliczne nr 43 im. Lotników Amerykańskich,K. Wóycickiego,1/3,01-938,Warszawa,16 LO,
Bielany,Liceum Ogólnokształcące  nr 13,J. Conrada,7,01-929,Warszawa,23 LO,
Bielany,Liceum Ogólnokształcące nr 50 Stowarzyszenia Kultury i Edukacji,Kolektorska,9/11,02-796,Warszawa,40 LO,
Mokotów,Liceum Ogólnokształcące Niepubliczne nr 6 ,J. S. Bacha,2,02-743,Warszawa,2 LO,
Mokotów,Prywatne Liceum Ogólnokształcące nr 32 im. Jeana Monneta,Belwederska ,6a,00-762,Warszawa,7 LO,
Mokotów, Autorskie Liceum Ogólnokształcące Niepubliczne nr 42,Iwicka,47b,00-735,Warszawa,12 LO,
Mokotów,Prywatne Liceum Ogólnokształcące Sióstr Nazaretanek z Oddziałami Międzynarodowymi,Czerniakowska,137,00-720,Warszawa,38 LO,
Mokotów,Niepubliczne Liceum Ogólnokształcące Nr 81 SGH,al.. Niepodległości,162,02-554,Warszawa,91 LO,
Mokotów,"Liceum Ogólnokształcące "" Szkoła Liderów""",Bobrowiecka ,9,00-728,Warszawa,198 LO,
Mokotów,"Liceum Ogólnokształcące Niepubliczne 
Kolegium św. Stanisława Kostki ",Bobrowiecka,9,00-728,Warszawa,10 LO,
Mokotów,Liceum Ogólnokształcące im. Salvadora Dalego,Bobrowiecka ,9,00-728,Warszawa,293 LO,
Mokotów,Niepubliczne Liceum Warsaw Montessori High School,Tatrzańska,5A,00-742,Warszawa,295 LO,
Ochota,Liceum Ogólnokształcące  Społeczne nr 17,Stefana Batorego,14,02-591,Warszawa,49 LO,
Ochota,Akademickie Liceum Ogólnokształcące przy PJATK,Szczęśliwicka ,33a,02-353,Warszawa,197 LO,
Ochota,Niepubliczne Liceum Ogólnokształcące Nr 2 im. Janusza Korczaka,Szczęśliwicka ,56,02-353,Warszawa,281 LO,
Praga Południe,Akademickie Liceum Ogólnokształcące,al. Stanów Zjednoczonych,24,03-964,Warszawa,214 LO,
Praga Południe,Liceum Ogólnokształcące,Kaleńska,3,04-367,Warszawa,223 LO,
Praga Południe,Chrześcijańskie Liceum Samuel,Mieczysława Pożaryskiego,28,04-703,Warszawa,274 LO,
Praga Pólnoc,Społeczne Liceum Ogólnokształcące nr 3 Społecznego Towarzystwa Oświatowego,Białostocka,4,03-741,Warszawa,27 LO,
Praga Pólnoc,Akademickie Liceum Ogólnokształcące Wyższej Szkoły Menedżerskiej w Warszawie,Kawęczyńska,36,03-772,Warszawa,58 LO,
Praga Pólnoc,Wielokulturowe Liceum Humanistyczne im. Jacka Kuronia,ks. I. Kłopotowskiego,31,03-708,Warszawa,182 LO,
Praga Północ,"Sportowe Liceum Ogólnokształcące nr 67 ""M.G.M.""",Jagiellońska,88,00-992,Warszawa,54 LO,
Śródmieście,"Liceum Ogólnokształcące LIFESKILLS Nr 1
",Hoża,88,00-682,Warszawa,269 LO,
Śródmieście,NOVA Liceum Ogólnokształcące Kluczowych Kompetencji Młodzieży w Warszawie,Widok,8,00-023,Warszawa,266 LO,
Śródmieście,Społeczne Liceum Ogólnokształcące nr 7 Społecznego Towarzystwa Oświatowego,Karmelicka,26,00-181,Warszawa,30 LO,
Śródmieście,2 Społeczne  Liceum Ogólnokształcące z Oddziałami Międzynarodowymi im. Pawła Jasienicy Społecznego Towarzystwa Oświatowego ( II miejsce ul. Solec 48),Nowowiejska,5,00-643,Warszawa,26 LO,
Śródmieście,21 Społeczne Liceum Ogólnokształcące im. Jerzego Grotowskiego,Jana Pawła II,36c,00-141,Warszawa,36 LO,
Śródmieście,Społeczne Liceum Ogólnokształcące nr 25 im. Marzenny Okońskiej,al.. Solidarności,101d,00-144,Warszawa,37 LO,
Śródmieście,Liceum Chocimska,Miodowa ,21c,02-014,Warszwa,309 LO,
Śródmieście,Liceum Astrid,al.. Wyzwolenia,7,00-572,Warszawa,289 LO,
Śródmieście,Liceum Ogólnokształcące Multimedia,pl. Defilad,1,00-901,Warszawa,270 LO,
Śródmieście,Bednarska Szkoła Realna,Kawalerii,5,00-468,"Warszawa
",259 LO,
Śródmieście,Prywatne  Liceum Ogólnokształcące z oddziałami Dwujęzycznymi im. Cecylli Plater Zyberkówny,Piękna,24/26,00-549,Warszawa,276 LO,
Śródmieście,Liceum Ogólnokształcące dla Młodzieży,Karmelicka,9,00-155,Warszawa,308 LO,
Targówek,Dwujęzyczne Liceum Ogólnokształcące Wyspa JP2,Radzymińska,118a,03-574,Warszawa,304 LO,
Targówek,"Polonijne Liceum Ogólnokształcące Niepubliczne ""KLASYK""",Matuszewska,20,03-876,Warszawa,242 LO,
Ursus,Niepubliczne liceum Ogólnokształcące Montessori w Warszawie  (II miejsce Plutonu Torpedy 41),Tomcia Palucha,25,02-495,Warszawa,292 LO,
Ursynów,Międzynarodowe Liceum Montessori w Warszawie (International Montessori High School of Warsaw),Dzierzby,26/28,02-836,Warszawa,282 LO,
Ursynów," Niepubliczne Liceum Ogólnokształcące im. Roberta Schumana Fundacji ""PRIMUS""",płk. Z. Baló,1,02-793,Warszawa,283 LO,
