dzielnica,Nazwa punktu przedszkolnego,Adres,nr,nr lokalu,kod,Miasto,Numer ewidencyjny
Bemowo,Terapeutyczny Punkt Przedszkolny KLEKS,Górczewska,228,83,01-460,Warszawa,141 PPN
Bemowo,"Punkt przedszkolny Sto Światów Dziecka (II. M.prow. Ul. Galileusza 7, ul. Kryształowa 41 lok.2B)",Newtona ,23,,01-482,Warszawa,229 PPN
Bemowo,Punkt przedszkolny Mali Ekolodzy,gen. L. Rayskiego,9,U4-u5,01-307,Warszawa,223 PPN
Bemowo,"Punkt Przedszkolny ""Ptasie Radio""",G. Leibniza,1,,01-481,Warszawa,40 PPN
Bemowo,"Punkt Przedszkolny ""Nasze Dzieci""",Obrońców Tobruku,38,U3,01-494,Warszawa,139 PPN
Bemowo,"Niepubliczny Terapeutyczny Punkt Przedszkolny ""qpsyche kids"" (II miejsce ul. Korfantego 61)",Lazurowa,183,90,01-479,Warszawa,195 PPN
Białołęka,Terapeutyczny Punkt Przedszkolny Kamyk Zielony,Odkryta,61,,03-126,Warszawa,191 PPN
Białołęka,Punkt Przedszkolny WONDERLAND,Zręby,7,,03-104,Warszawa,76 PPN
Białołęka,Punkt Przedszkolny Piaskowy Smok,Odkryta,31,LU6,03-147,Warszawa,67 PPN
Białołęka,Punkt Przedszkolny Magiczny Świat Dziecka,Świderska,104,2,03-128,Warszawa,188 PPN
Białołęka,Punkt Przedszkolny Akademia Wesołe Bąbelkowo,Tymotki,7,,03-289,Warszawa,203 PPN
Białołęka,"Punkt Przedszkolny ""Wiatr w Żagle""",Sieczna,5,,03-290,Warszawa,179 PPN
Białołęka,Punkt Przedszkolny - Klub Kuferek,Atutowa,7,,03-126,Warszawa,2 PPN
Białołęka,"Niepubliczny Terapeutyczny Punkt Przedszkolny ""Kraina Zmysłów""",Okrągła ,48,,03-290,Warszawa,111 PPN
Białołęka,Niepubliczny Punkt Przedszkolny MoreLove,Morelowa ,2a,,03-192,Warszawa,184 PPN
Białołęka,Niepubliczny Punkt Przedszkolny EduMaluch,Ruskowy Bród,61,,03-289,Warszawa,216 PPN
Białołęka,"Niepubliczny Punkt Przedszkolny ""Róża Montessori""",Dębowa,12M,,03-054,Warszawa,105 PPN
Białołęka,"Niepubliczny punkt Przedszkolny ""Garden Kids""",Lewandów,55a,1,03-299,Warszawa,235 PPN
Białołęka,Niepubliczny Ekologiczny Punkt Przedszkolny Gniazdko Malucha,Warzelnicza,27 B,,03-225,Warszawa,186 PPN
Białołęka,"Multicentrum edukacyjno-rozwojowe ""Zdobywcy Świata""",Aluzyjna,18 B,,03-149,Warszawa,114 PPN
Białołęka,Kompas Terapeutyczny Punkt Przedszkolny,Głębocka,54b/28,,03-287,Warszawa,236 PPN
Białołęka,"Dwujęzyczny Punkt Przedszkolny ""WUNDERKIND ACADEMY""",J. Mehoffera,45D,,03-131,Warszawa,166 PPN
Białołęka,"""Promyczek""",Marywilska,56A,,03-042,Warszawa,9 PPN
Bielany,Punkt Przedszkolny Artystyczno-Językowe Super Przedszkole,Rudnickiego,3a,14/15H,01-858,Warszawa,240 PPN
Bielany,"Punkt Przedszkolny ""Świat Montessori""",Barcicka,10,,01-839,Warszawa,173 PPN
Bielany,"Punkt Przedszkolny ""Leśna Droga""",Dewajtis,3,,01-815,Warszawa,185 PPN
Bielany,"Punkt Przedszkolny ""Brzdące na Łące""",Kleczewska,23,,01-851,Warszawa,116 PPN
Bielany,"Niepubliczny Terapeutyczny Punkt Przedszkolny ""Pastelowa Układanka""",Farysa,57,,01-971,Warszawa,205 PPN
Bielany,"Niepubliczny punkt Przedszkolny ""Nibylandia""",Trylogii,20,,01-982,Warszawa,215 PPN
