Nr systemowy oddziału;Symbol oddziału;Nazwa krótka oddziału;Przedmioty rozszerzone;Zawód;Symbol klasyfikacyjny zawodu;Nr systemowy szkoły;REGON szkoły;Nazwa szkoły;Ulica szkoły;Nr budynku szkoły;Kod pocztowy szkoły;Dzielnica;Miejscowość szkoły;Kod SIMC miejscowości szkoły;Gmina szkoły;Kod TERC gminy szkoły;Powiat szkoły;Kod TERC powiatu szkoły;Województwo szkoły;Kod TERC województwa szkoły;Typ szkoły (LO/LP/TECH/BR1St/LU/TU/PS);Uprawnienia publiczne;Nr systemowy Punktu Naboru;Nazwa Punktu Naboru;Miejscowość Punktu Naboru;Nr systemowy organu prowadzącego;Nazwa organu prowadzącego;Miejscowość organu prowadzącego;Liczba miejsc w oddziale;Liczebność podstawowa oddziału;Krotność oddziału (l. miejsc/liczebność podst.);Cykl kształcenia;Maksimum punktowe;Ze sprawdzianem uzdolnień (tak/nie);Typ szczególny;Liczba chętnych ogółem;Liczba chętnych z orzeczeniem o potrzebie kształcenia specjalnego;Liczba chętnych ogółem z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z negatywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z nierozpatrzonymi wnioskami;Liczba chętnych ogółem z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z nierozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji łącznie;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z nierozpatrzonymi wnioskami;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z nierozpatrzonymi osiągnięciami;Liczba zarezerwowanych miejsc;Liczba rezerwacji potwierdzonych;Liczba rezerwacji niepotwierdzonych;Liczba potencjalnych kandydatów niezakwalifikowanych do tego oddziału;Liczba kandydatów zakwalifikowanych;Liczba kandydatów przyjętych
5226;1LA;[O] pol-hist-ang (ang-niem);język polski, historia, język angielski;;;252;17368043;LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego;Saska;78;03-914;Praga-Południe;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;60;Zespół Szkół nr 21;Warszawa;6;Praga Południe;Warszawa;34;34;1;4;200.00000;nie;ogólnodostępny;186;4;185;1;0;183;3;0;15;15;0;0;15;0;0;0;0;0;0;29;26
5229;1LB;[O] geogr-wos-ang (ang-niem);geografia, wiedza o społeczeństwie, język angielski;;;252;17368043;LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego;Saska;78;03-914;Praga-Południe;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;60;Zespół Szkół nr 21;Warszawa;6;Praga Południe;Warszawa;60;30;2;4;200.00000;nie;ogólnodostępny;265;6;263;1;1;262;2;1;17;16;0;1;16;0;1;0;0;0;1;42;55
4439;1A;[O] pol-hist (ang-hisz,niem);język polski, historia;;;254;15850468;XXXII Liceum Ogólnokształcące im. Stefana Grota-Roweckiego;Stawki;10;00-178;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;110;Zespół Szkół Licealnych i Ekonomicznych nr 1;Warszawa;9;Śródmieście;Warszawa;30;30;1;4;200.00000;nie;ogólnodostępny;244;6;238;5;1;236;7;1;11;10;0;1;10;0;1;6;6;0;23;24;27
5943;1A;[O] pol (ang-niem*,hisz*);język polski;;;256;383012220;CLXIII Liceum Ogólnokształcące;Klimatyczna;1;05-077;Wesoła;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;179;CLXIII Liceum Ogólnokształcące;Warszawa;14;Wesoła;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;198;9;194;2;2;192;4;2;50;48;0;2;47;1;2;1;1;0;43;31;31
5944;1B;[O] mat (ang-niem*,hisz*);matematyka;;;256;383012220;CLXIII Liceum Ogólnokształcące;Klimatyczna;1;05-077;Wesoła;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;179;CLXIII Liceum Ogólnokształcące;Warszawa;14;Wesoła;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;185;4;182;3;0;183;2;0;21;21;0;0;21;0;0;0;0;0;12;32;27
5080;1a;[O] geogr-wos-ang (ang*-hisz*,niem*);geografia, wiedza o społeczeństwie, język angielski;;;257;15854957;"LXXIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zawiszaków Proporca ""Victoria""";Promienista;12a;02-428;Włochy;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;182;"Zespół Szkół nr 17 im. Zawiszaków Proporca ""Victoria""";Warszawa;16;Włochy;Warszawa;31;31;1;4;200.00000;nie;ogólnodostępny;146;4;141;2;3;141;2;3;7;4;0;3;4;0;3;2;1;1;3;27;30
5082;1b;[O] biol-chem-ang (ang*-hisz*,niem*);biologia, chemia, język angielski;;;257;15854957;"LXXIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zawiszaków Proporca ""Victoria""";Promienista;12a;02-428;Włochy;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;182;"Zespół Szkół nr 17 im. Zawiszaków Proporca ""Victoria""";Warszawa;16;Włochy;Warszawa;0;30;0;4;200.00000;nie;ogólnodostępny;70;4;67;3;0;67;3;0;1;1;0;0;1;0;0;0;0;0;7;0;0
5946;1b;[MS] geogr-ang (ang-niem);geografia, język angielski;;;268;383776608;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego ;Chełmska;23;00-033;Mokotów;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;187;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego;Warszawa;4;Mokotów;Warszawa;0;30;0;4;100.00000;tak;mistrzostwa sportowego;35;1;31;4;0;31;4;0;3;3;0;0;3;0;0;0;0;0;3;0;0
5949;1a;[MS] ang-geogr (ang-niem);język angielski, geografia;;;268;383776608;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego ;Chełmska;23;00-033;Mokotów;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;187;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego;Warszawa;4;Mokotów;Warszawa;33;33;1;4;100.00000;tak;mistrzostwa sportowego;50;1;47;3;0;45;5;0;22;19;3;0;17;5;0;0;0;0;0;18;25
4817;1A;[O] Sprzedawca (ang);;Sprzedawca;522301;281;190213;Branżowa Szkoła I stopnia Nr 18;Stefana Żeromskiego;22;01-835;Bielany;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;BR1St;szkoła publiczna;70;Zespół Szkół nr 35 im. Zofii Jaroszewicz Kasi;Warszawa;3;Bielany;Warszawa;0;28;0;3;200.00000;nie;ogólnodostępny;59;7;57;2;0;55;4;0;8;7;1;0;7;1;0;1;0;1;14;0;0
