Symbol oddziału,Nazwa krótka oddziału,Przedmioty rozszerzone,Zawód,Nazwa szkoły,Ulica szkoły,Nr budynku szkoły,Kod pocztowy szkoły,Dzielnica,Miejscowość szkoły,Gmina szkoły,Powiat szkoły,Typ szkoły (LO/LP/TECH/BR1St/LU/TU/PS),Uprawnienia publiczne,Nazwa Punktu Naboru,Miejscowość Punktu Naboru,Nazwa organu prowadzącego,Miejscowość organu prowadzącego,Liczba miejsc w oddziale,Liczebność podstawowa oddziału,Krotność oddziału (l. miejsc/liczebność podst.),Cykl kształcenia,Maksimum punktowe,Ze sprawdzianem uzdolnień (tak/nie),Typ szczególny
1A_(pol+hist+ang),"[O] hist-ang-pol (ang-fra*,hisz*,niem*)","historia, język angielski, język polski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1B_(mat+fiz+ang),"[O] fiz-ang-mat (ang-fra*,hisz*,niem*)","fizyka, język angielski, matematyka",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,15,30,0.5,4,200.00000,nie,ogólnodostępny
1B_(mat+info+ang),"[O] inf-ang-mat (ang-fra*,hisz*,niem*)","informatyka, język angielski, matematyka",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,15,30,0.5,4,200.00000,nie,ogólnodostępny
1C_(hist+wos+ang),"[O] hist-ang-wos (ang-fra*,hisz*,niem*)","historia, język angielski, wiedza o społeczeństwie",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1D_(pol+hist.sz+ang,"[I-o] h.szt.-ang-pol (ang-fra*,hisz*,niem*)","historia sztuki, język angielski, język polski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,15,20,0.75,4,200.00000,nie,integracyjny cz. ogólnodostępna
1Di_(pol+his.sz+ang,"[I-i] h.szt.-ang-pol (ang-fra*,hisz*,niem*)","historia sztuki, język angielski, język polski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,5,20,0.25,4,null,nie,integracyjny cz. dla kandydatów z orzeczeniem o potrzebie kształcenia specjalnego
1E_(mat+geo+ang),"[O] geogr-ang-mat (ang-fra*,hisz*,niem*)","geografia, język angielski, matematyka",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1F_(biol+chem+ang),"[O] biol-chem-ang (ang-fra*,hisz*,niem*)","biologia, chemia, język angielski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1G_(geo+wos+ang),"[O] geogr-ang-wos (ang-fra*,hisz*,niem*)","geografia, język angielski, wiedza o społeczeństwie",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1A,[O] pol-hist-hiszp (hisz*-ang),"język polski, historia, język hiszpański",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
