district;school_name;school_class;points_min;points_max;points_avg
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Ah [O] geogr-wos-ang (ang-hisz) ;130,2;162,05;142,46
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1An [O] geogr-wos-ang (ang-niem);108,55;142,15;123,05
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Bf [O] mat-ang-fiz (ang-niem,hisz);113,65;151,05;130,01
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Bg [O] mat-geogr-ang (ang-hisz,niem);128,5;160,75;139,09
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Ch [O] biol-chem-ang (ang-hisz);132,3;180,45;146,61
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Cn [O] biol-chem-ang (ang-niem);103,95;137,45;117,90
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Dh [O] ang-hiszp-geogr (ang-hisz);130,25;165,25;140,91
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Dn [O] ang-niem-geogr (ang-niem);112,05;150,95;130,02
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1Eh [O] pol-hist-ang (ang-hisz);125,35;143,25;131,93
Bemowo;LXXVIII Liceum Ogólnokształcące im. Marii Pawlikowskiej-Jasnorzewskiej;1En [O] pol-hist-ang (ang-niem);124;163;137,50
Białołęka;CLXV Liceum Ogólnokształcące;1A [O] mat-biol-chem (ang-hisz*,niem*);27,55;153,35;97,41
Białołęka;CLXV Liceum Ogólnokształcące;1B [O] mat-geogr-inf (ang-hisz*,niem*);110,35;158,1;132,79
Białołęka;CLXV Liceum Ogólnokształcące;1C [O] pol-ang-hist (ang-hisz*,niem*);96,55;137,9;117,31
Białołęka;CV Liceum Ogólnokształcące im. Zbigniewa Herberta;1A [O] ang-mat-geogr (ang-fra*,niem*,ros*);133,45;177,15;146,52
Białołęka;CV Liceum Ogólnokształcące im. Zbigniewa Herberta;1B [O] biol-chem-mat (ang-fra*,niem*,ros*);123,35;157;139,69
Białołęka;CV Liceum Ogólnokształcące im. Zbigniewa Herberta;1C [O] ang-pol-hist (ang-fra*,niem*,ros*);114,95;155,65;132,79
Białołęka;CV Liceum Ogólnokształcące im. Zbigniewa Herberta;1D [O] ang-wos-geogr (ang-fra*,niem*,ros*);126,3;157,75;138,45
Białołęka;CV Liceum Ogólnokształcące im. Zbigniewa Herberta;1E [O] ang-wos-hist (ang-fra*,niem*,ros*);115,7;156,3;128,33
Białołęka;CV Liceum Ogólnokształcące im. Zbigniewa Herberta;1F [O] ang-mat-fiz (ang-fra*,niem*,ros*);130,25;173,45;149,11
Bielany;CXXII Liceum Ogólnokształcące im. Ignacego Domeyki;1A,1B/1 [O] mat-fiz-ang (ang-niem*);164,25;181,7;169,57
Bielany;CXXII Liceum Ogólnokształcące im. Ignacego Domeyki;1B/2 [O] mat-fiz-ang (ang-hisz);167,45;184,4;171,86
Bielany;CXXII Liceum Ogólnokształcące im. Ignacego Domeyki;1C [O] mat-geogr-ang (ang-niem*);166,2;183,9;172,08
Bielany;CXXII Liceum Ogólnokształcące im. Ignacego Domeyki;1D [O] mat-biol-chem (ang-niem*);158,35;178,25;165,74
Bielany;LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta;1a [O] biol-pol-ang (ang*-hisz*,niem*);114,4;162,75;130,67
Bielany;LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta;1b [O] hiszp-geogr-ang (ang*-hisz*);112,85;156,95;129,78
Bielany;LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta;1c [O] mat-geogr-ang (ang*-hisz*,niem*);119,35;156,15;131,16
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1A [MS] biol-chem (ang-niem);40;100;71,76
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1A2 [MS] biol-chem (ang-niem);54;65;59,00
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1B [MS] biol-chem (ang-niem);470;740;597,33
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1B2 [MS] biol-chem (ang-niem);69;100;80,25
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1C [MS] biol-geogr (ang-hisz);68;96;83,50
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1C2 [MS] biol-geogr (ang-hisz);362;435;398,46
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1D [MS] biol-geogr (ang-hisz);55;100;81,17
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1D2 [MS] biol-geogr (ang-hisz);72,2;72,2;72,20
Bielany;LIX Liceum Ogólnokształcące Mistrzostwa Sportowego im. Janusza Kusocińskiego;1E [MS] geogr-wos (ang-niem);6;20;11,59
Bielany;LX Liceum Ogólnokształcące im. Wojciecha Górskiego;1PA [O] ang-hiszp-niem (ang-hisz*,niem*);80,85;147,45;103,01
Bielany;LX Liceum Ogólnokształcące im. Wojciecha Górskiego;1PB [O] hist-wos (ang-hisz*,niem*);96,75;140,15;116,10
Bielany;LX Liceum Ogólnokształcące im. Wojciecha Górskiego;1PC [O] ang-geogr (ang-hisz*,niem*);103,2;145,55;116,53
Bielany;Technikum Ekonomiczne nr 5;1E [O] Technik ekonomista (ang-niem*);38,65;130,45;81,46
Bielany;Technikum Ekonomiczne nr 5;1H [O] Technik handlowiec (ang-niem*);33,8;113,75;70,83
